step,total_vehicles,avg_waiting_time,total_delay,throughput,avg_speed,total_stops,total_co2_g
1321,56,13.303571428571429,2647.0,251,0.7696428571428571,66,414.19
1331,56,11.839285714285714,2933.0,252,0.776635080221397,74,452.18
1341,56,11.232142857142858,3132.0,254,0.8170593838530531,74,472.75
1351,58,10.948275862068966,3343.0,256,0.7862068965517242,76,492.96
1361,59,11.457627118644067,3697.0,257,0.7677966101694915,79,532.67
1371,60,12.866666666666667,4185.0,257,0.7216666666666666,82,589.41
1381,60,14.3,4235.0,259,0.689846761989619,81,605.79
1391,58,17.362068965517242,3792.0,264,0.6674668145980527,77,562.96
1401,59,15.525423728813559,3586.0,268,0.7898305084745761,92,542.24
1411,58,13.155172413793103,3266.0,273,0.7785529777691712,85,508.75
1421,55,11.636363636363637,2763.0,280,0.7325030037402047,71,432.29
