step,total_vehicles,avg_waiting_time,total_delay,throughput,avg_speed,total_stops,total_co2_g
851,16,9.0,906.0,60,0.6312482870477956,11,154.33
861,15,7.866666666666666,857.0,61,0.9011655748641244,11,150.78
871,13,7.538461538461538,598.0,64,0.8999999999999999,7,109.84
881,14,5.571428571428571,706.0,64,0.7506778432475762,8,124.37
891,14,5.642857142857143,819.0,64,0.7206951880700736,10,137.59
901,14,6.357142857142857,786.0,65,0.7571428571428571,9,132.17
911,13,8.538461538461538,773.0,66,0.6921055791245041,9,125.39
921,13,10.846153846153847,880.0,66,0.6922744102290755,9,136.9
931,16,10.75,990.0,66,0.5624927721175984,9,148.33
941,15,8.2,943.0,67,0.9958777540867092,8,145.74
951,14,5.928571428571429,512.0,71,0.9214285714285715,3,87.42
961,15,3.0,592.0,71,0.9933333333333334,3,105.49
971,15,1.2666666666666666,672.0,71,0.930913434299291,4,123.88
981,15,0.9333333333333333,602.0,72,0.8733333333333333,3,122.58
991,15,1.6,702.0,72,0.9333333333333333,3,140.0
1001,15,3.533333333333333,821.0,72,0.7333333333333333,4,155.21
1011,16,5.75,960.0,72,0.575,7,168.79
1021,15,5.333333333333333,781.0,74,0.8247544407910804,7,145.13
1031,15,5.2,484.0,77,0.7866666666666666,7,103.06
1041,14,6.285714285714286,474.0,78,0.8556315838088925,7,99.42
1051,14,7.285714285714286,564.0,78,0.7999999999999999,8,113.77
1061,15,4.666666666666667,663.0,78,0.9866666666666667,8,130.49
1071,17,2.9411764705882355,772.0,78,0.8705882352941177,9,149.77
1081,18,2.0555555555555554,900.0,78,0.8833333333333333,10,169.24
1091,18,2.111111111111111,1040.0,78,0.8388860852308817,11,188.99
1101,19,2.9473684210526314,1024.0,79,0.7182682612824978,11,187.74
1111,17,5.0,554.0,84,0.7294117647058824,6,110.01
1121,17,6.764705882352941,653.0,84,0.8117647058823529,6,127.17
1131,17,8.941176470588236,766.0,84,0.7529411764705882,7,143.92
1141,18,8.444444444444445,722.0,85,0.7055555555555555,8,140.82
1151,17,9.647058823529411,560.0,87,0.6823529411764706,8,118.67
1161,19,9.157894736842104,684.0,87,0.7052631578947368,8,134.89
1171,19,10.263157894736842,824.0,87,0.5894736842105263,10,151.11
1181,19,7.631578947368421,964.0,87,0.8315789473684211,11,168.39
1191,20,6.25,879.0,89,0.7700000000000001,10,149.97
1201,21,5.666666666666667,1026.0,89,0.8428571428571429,10,171.43
1211,21,6.190476190476191,1180.0,89,0.719047619047619,12,192.99
1221,20,5.55,1181.0,90,0.8800000000000001,12,195.27
1231,18,6.166666666666667,1015.0,92,0.6833333333333332,10,178.44
1241,18,6.166666666666667,1169.0,92,0.7444444444444445,13,195.18
1251,19,5.894736842105263,1346.0,92,0.7473684210526316,14,212.93
1261,18,4.722222222222222,1219.0,94,0.8861455825952967,14,194.72
1271,17,3.823529411764706,846.0,98,0.8411764705882353,11,137.74
1281,19,2.526315789473684,966.0,98,0.9210526315789473,11,158.35
1291,19,1.9473684210526316,1086.0,98,0.9526315789473685,11,181.34
1301,19,1.4210526315789473,1054.0,99,0.9842105263157894,11,186.26
1311,19,0.8947368421052632,870.0,101,0.9526315789473683,10,172.48
1321,18,0.6666666666666666,866.0,102,0.9444444444444444,6,176.74
1331,18,1.1666666666666667,888.0,103,0.7722222222222223,7,177.85
1341,16,0.9375,619.0,106,0.7587312170852931,9,138.49
1351,15,1.8666666666666667,370.0,109,0.7839754677083035,8,97.39
1361,15,3.2,471.0,109,0.8666666666666667,8,113.57
1371,17,4.352941176470588,581.0,109,0.7067226890756302,9,129.18
1381,17,4.470588235294118,700.0,109,0.8485669743207491,11,145.46
1391,16,5.125,669.0,110,0.7266878698183357,12,143.9
1401,17,5.411764705882353,798.0,110,0.7823352399094363,14,159.39
1411,17,6.529411764705882,938.0,110,0.7293993663481066,18,175.6
1421,17,4.705882352941177,1085.0,110,0.9365021008403364,21,193.33
1431,13,3.923076923076923,655.0,115,0.8770800829569315,17,116.8
1441,15,2.6666666666666665,765.0,115,0.735698931090345,18,131.63
1451,16,2.375,884.0,115,0.8435491989769937,18,147.24
